1	1	1
1	10	4
1	5	1
2	9	2
3	11	5
3	6	1
3	14	7
4	12	5
5	17	7
5	14	6
5	10	1
6	13	5
6	9	1
7	15	3
7	17	7
8	17	4
8	18	8
8	18	7
8	15	2
9	18	6
9	15	4
10	19	6
11	22	8
11	22	7
12	25	8
12	20	3
12	16	2
14	27	8
14	19	2
14	17	1
14	24	7
15	21	3
15	24	4
16	29	8
16	23	3
17	25	4
18	30	8
18	23	3
18	24	3
19	29	8
20	29	5
20	30	8
20	29	6
20	23	1
21	26	3
22	33	7
22	27	2
22	31	4
22	31	7
23	34	6
23	35	7
24	33	6
24	36	8
24	31	2
25	33	3
25	28	1
26	36	8
26	32	4
27	37	5
37	38	6
37	34	5
38	49	7
39	42	1
39	56	3
60	79	7
60	77	3
60	78	3
61	71	8
63	75	8
65	83	5
76	85	4
78	90	8
80	99	4
82	99	6
84	99	7
85	108	3
87	109	5
89	120	4
